frame.number,frame.time,ip.src,ip.dst,http.request.method,http.host,http.request.full_uri,http.user_agent,http.response.code
4,May  7\, 2024 09:37:38.405369000 UTC,10.142.0.4,10.142.0.3,GET,10.142.0.3,http://10.142.0.3/,,
9,May  7\, 2024 09:37:42.745064000 UTC,10.142.0.3,10.142.0.4,,,http://10.142.0.3/,,200
16,May  7\, 2024 09:37:42.826300000 UTC,10.142.0.4,10.142.0.3,POST,10.142.0.3,http://10.142.0.3/submit_feedback,,
19,May  7\, 2024 09:37:42.827481000 UTC,10.142.0.3,10.142.0.4,,,http://10.142.0.3/submit_feedback,,200
26,May  7\, 2024 09:37:42.833016000 UTC,10.142.0.4,10.142.0.3,GET,10.142.0.3,http://10.142.0.3/,,
31,May  7\, 2024 09:37:48.810967000 UTC,10.142.0.3,10.142.0.4,,,http://10.142.0.3/,,200
41,May  7\, 2024 09:37:53.272197000 UTC,10.142.0.4,10.142.0.3,POST,10.142.0.3,http://10.142.0.3/submit_feedback,,
47,May  7\, 2024 09:37:53.274286000 UTC,10.142.0.3,10.142.0.4,,,http://10.142.0.3/submit_feedback,,200
54,May  7\, 2024 09:37:53.275947000 UTC,10.142.0.4,10.142.0.3,GET,10.142.0.3,http://10.142.0.3/,,
60,May  7\, 2024 09:38:14.361704000 UTC,10.142.0.3,10.142.0.4,,,http://10.142.0.3/,,200
67,May  7\, 2024 09:38:14.419744000 UTC,10.142.0.4,10.142.0.3,POST,10.142.0.3,http://10.142.0.3/submit_feedback,,
72,May  7\, 2024 09:38:14.420642000 UTC,10.142.0.3,10.142.0.4,,,http://10.142.0.3/submit_feedback,,200
79,May  7\, 2024 09:38:14.421975000 UTC,10.142.0.4,10.142.0.3,GET,10.142.0.3,http://10.142.0.3/,,
84,May  7\, 2024 09:38:59.857460000 UTC,10.142.0.3,10.142.0.4,,,http://10.142.0.3/,,200
91,May  7\, 2024 09:38:59.906266000 UTC,10.142.0.4,10.142.0.3,POST,10.142.0.3,http://10.142.0.3/submit_feedback,,
94,May  7\, 2024 09:38:59.907091000 UTC,10.142.0.3,10.142.0.4,,,http://10.142.0.3/submit_feedback,,200
101,May  7\, 2024 09:38:59.922835000 UTC,10.142.0.4,10.142.0.3,GET,10.142.0.3,http://10.142.0.3/,,
